Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Sheriff,Samuel Lee Lockhart,Stabbed,"Saturday, January 9, 1858",1858,January,Saturday,"Llano County Sheriff's Office, TX",Texas,0
,,,,,,,,,,,,,,Special Police Officer,George C. Chapman,Gunfire,"Wednesday, April 28, 1858",1858,April,Wednesday,"Sacramento Police Department, CA",California,0
,,,,,,,,,,,,,,Private,William Earbee,Gunfire (Inadvertent),"Wednesday, May 5, 1858",1858,May,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Private,Robert Nickles,Stabbed,"Wednesday, May 12, 1858",1858,May,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Private,Waco Indian,Gunfire,"Wednesday, May 12, 1858",1858,May,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,City Marshal,Joseph Beard,Stabbed,"Saturday, July 10, 1858",1858,July,Saturday,"Lexington Police Department, KY",Kentucky,0
,,,,,,,,,,,,,,Deputy Sheriff,Travis Gibson,Stabbed,"Tuesday, August 3, 1858",1858,August,Tuesday,"Campbell County Sheriff's Office, TN",Tennessee,0
,,,,,,,,,,,,,,Sheriff,Sampson D. Queener,Stabbed,"Tuesday, August 3, 1858",1858,August,Tuesday,"Campbell County Sheriff's Office, TN",Tennessee,0
,,,,,,,,,,,,,,Patrolman,George Coulter,Gunfire,"Tuesday, August 17, 1858",1858,August,Tuesday,"Louisville Police Department, KY",Kentucky,0
,,,,,,,,,,,,,,Police Officer,Thomas H. Snyder,Explosion,"Thursday, September 9, 1858",1858,September,Thursday,"Philadelphia Police Department, PA",Pennsylvania,0
,,,,,,,,,,,,,,Police Officer,Benjamin Benton,Gunfire,"Wednesday, September 22, 1858",1858,September,Wednesday,"Baltimore City Police Department, MD",Maryland,0
,,,,,,,,,,,,,,Police Officer,William Cooke,Gunfire,"Monday, October 18, 1858",1858,October,Monday,"Salt Lake City Police Department, UT",Utah,0
,,,,,,,,,,,,,,Police Officer,Robert M. Rigdon,Gunfire,"Monday, November 8, 1858",1858,November,Monday,"Baltimore City Police Department, MD",Maryland,0
,,,,,,,,,,,,,,City Marshal,Frederick Warren,Gunfire (Inadvertent),"Saturday, November 13, 1858",1858,November,Saturday,"Worcester Police Department, MA",Massachusetts,0
,,,,,,,,,,,,,,Policeman,Joel N. McDonald,Gunfire,"Friday, November 26, 1858",1858,November,Friday,"Columbia Police Department, CA",California,0
,,,,,,,,,,,,,,Constable,John Leary,Gunfire,"Monday, November 29, 1858",1858,November,Monday,"Columbia Police Department, CA",California,0
,,,,,,,,,,,,,,Police Officer,Calvin W. Webb,Gunfire,"Friday, December 31, 1858",1858,December,Friday,"Atlanta Police Department, GA",Georgia,0
,,,,,,,,,,,,,,Constable,David Welch,Gunfire,"Tuesday, January 11, 1859",1859,January,Tuesday,"Henderson County Sheriff's Office, IL",Illinois,0
,,,,,,,,,,,,,,Private,Jonathon Thompson,Gunfire (Inadvertent),"Sunday, February 27, 1859",1859,February,Sunday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Deputy Sheriff,George Moorman Martin,Gunfire,"Monday, July 11, 1859",1859,July,Monday,"Placer County Sheriff's Office, CA",California,0
,,,,,,,,,,,,,,Jailer,Robert L. Johnson,Gunfire,"Wednesday, September 28, 1859",1859,September,Wednesday,"Cameron County Sheriff's Office, TX",Texas,0
,,,,,,,,,,,,,,Constable,George Morris,Gunfire,"Wednesday, September 28, 1859",1859,September,Wednesday,"Cameron County Constable's Office - Precinct 2, TX",Texas,0
,,,,,,,,,,,,,,Private,John Fox,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Private,Thomas Grier,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Private,William McKay,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Private,Nicholas R. Milett,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Private,David Herman,Gunfire,"Wednesday, December 14, 1859",1859,December,Wednesday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Patrolman,John Steward,Structure collapse,"Tuesday, December 20, 1859",1859,December,Tuesday,"New York Metropolitan Police Force, NY",New York,0
,,,,,,,,,,,,,,Private,Fountain B. Woodruff,Gunfire,"Saturday, February 4, 1860",1860,February,Saturday,"Texas Rangers, TX",Texas,0
,,,,,,,,,,,,,,Sheriff,Thomas S. Milligan,Assault,"Sunday, February 19, 1860",1860,February,Sunday,"Mason County Sheriff's Office, TX",Texas,0
,,,,,,,,,,,,,,Officer,C. Edward Foley,Gunfire,"Saturday, March 10, 1860",1860,March,Saturday,"Houston Police Department, TX",Texas,0
,,,,,,,,,,,,,,Deputy U.S. Marshal,Leonard Armes,Gunfire,"Friday, April 20, 1860",1860,April,Friday,"United States Department of Justice - United States Marshals Service, US",United States,0
,,,,,,,,,,,,,,Deputy Sheriff,Thomas Clancy,Vehicular assault,"Saturday, May 5, 1860",1860,May,Saturday,"Wayne County Sheriff's Office, MI",Michigan,0
,,,,,,,,,,,,,,Patrolman,W. Stith Tucker,Stabbed,"Saturday, May 5, 1860",1860,May,Saturday,"Memphis Police Department, TN",Tennessee,0
,,,,,,,,,,,,,,Police Officer,Levi Washington Davis,Gunfire,"Monday, May 7, 1860",1860,May,Monday,"Springville Police Department, UT",Utah,0
,,,,,,,,,,,,,,Patrol Officer,William Loughrey,Stabbed,"Tuesday, June 26, 1860",1860,June,Tuesday,"Cambridge Police Department, MA",Massachusetts,0
,,,,,,,,,,,,,,Deputy Sheriff,Thomas Shain,Gunfire,"Monday, July 2, 1860",1860,July,Monday,"Collin County Sheriff's Office, TX",Texas,0
,,,,,,,,,,,,,,Constable,Miles Huntsman,Gunfire,"Thursday, July 26, 1860",1860,July,Thursday,"Amador County Constable's Office, CA",California,0
,,,,,,,,,,,,,,Deputy,Thomas Nolan,Gunfire,"Wednesday, August 15, 1860",1860,August,Wednesday,"Nueces County Sheriff's Office, TX",Texas,0
,,,,,,,,,,,,,,Officer,Claborne Long,Stabbed,"Wednesday, January 9, 1861",1861,January,Wednesday,"Cincinnati Police Department, OH",Ohio,0
,,,,,,,,,,,,,,Officer,Daniel Hallam,Stabbed,"Thursday, January 10, 1861",1861,January,Thursday,"Cincinnati Police Department, OH",Ohio,0
,,,,,,,,,,,,,,Sheriff,Jesse Sut Harris,Gunfire,"Thursday, June 6, 1861",1861,June,Thursday,"Brown County Sheriff's Office, TX",Texas,0
,,,,,,,,,,,,,,Officer,Patrick Nuttle,Stabbed,"Tuesday, June 11, 1861",1861,June,Tuesday,"Cincinnati Police Department, OH",Ohio,0
